,count,info
0,"[24.0, 8.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",正10类数目为
1,"[23.0, 6.0, 3.0, 8.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0]",负10类数目为
2,3,读取成功的文件数
3,0,读取为空的文件数
